split,evaluation_role,estimator,subset,metric,class_level,class_color,value,numerator,denominator,status
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,3.0,orange,0.9800398581239944,,,ok
calibration,chronological_evaluation_only,ngboost,all,classwise_ece,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,fit_majority_prior,all,row_count,,,1808.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,accuracy,,,0.2936946902654867,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,macro_f1_fixed_five,,,0.09080803762291577,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,macro_f1_supported_classes,,,0.11351004702864471,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,precision,0.0,green,0.2936946902654867,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,recall,0.0,green,1.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,f1,0.0,green,0.45404018811457886,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,support,0.0,green,531.0,531.0,1808.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,precision,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,recall,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,f1,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,support,1.0,blue,847.0,847.0,1808.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,precision,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,recall,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,f1,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,support,2.0,yellow,287.0,287.0,1808.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,precision,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,recall,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,f1,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,support,3.0,orange,143.0,143.0,1808.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,precision,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,fit_majority_prior,all,recall,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,fit_majority_prior,all,f1,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,fit_majority_prior,all,support,4.0,red,0.0,0.0,1808.0,absent_target_class
calibration,chronological_evaluation_only,fit_majority_prior,all,balanced_accuracy_supported_classes,,,0.25,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,ordinal_mae,,,1.0232300884955752,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,quadratic_weighted_kappa,,,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,false_escalation_vs_proxy_count,,,0.0,0.0,1808.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,false_escalation_vs_proxy_rate,,,0.0,0.0,1808.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,false_deescalation_vs_proxy_count,,,1277.0,1277.0,1808.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,false_deescalation_vs_proxy_rate,,,0.7063053097345132,1277.0,1808.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,multiclass_log_loss,,,1.3733594589537994,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,multiclass_brier,,,0.7139394146345245,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,top_label_ece,,,0.1922943207235241,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,classwise_ece,0.0,green,0.1922943207235241,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_roc_auc,0.0,green,0.5,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_pr_auc,0.0,green,0.2936946902654867,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,classwise_ece,1.0,blue,0.0742426820966644,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_roc_auc,1.0,blue,0.5,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_pr_auc,1.0,blue,0.4684734513274336,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,classwise_ece,2.0,yellow,0.062447729261888546,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_roc_auc,2.0,yellow,0.5,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_pr_auc,2.0,yellow,0.15873893805309736,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,classwise_ece,3.0,orange,0.0676918214528834,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_roc_auc,3.0,orange,0.5,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_pr_auc,3.0,orange,0.0790929203539823,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,all,classwise_ece,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_roc_auc,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,fit_majority_prior,all,one_vs_rest_pr_auc,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,current_state_persistence,all,row_count,,,1808.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,accuracy,,,0.9164823008849557,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,macro_f1_fixed_five,,,0.7383832299148396,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,macro_f1_supported_classes,,,0.9229790373935495,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,precision,0.0,green,0.8913857677902621,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,recall,0.0,green,0.896421845574388,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,f1,0.0,green,0.8938967136150234,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,support,0.0,green,531.0,531.0,1808.0,ok
calibration,chronological_evaluation_only,current_state_persistence,all,precision,1.0,blue,0.9218009478672986,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,recall,1.0,blue,0.9185360094451004,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,f1,1.0,blue,0.9201655824955648,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,support,1.0,blue,847.0,847.0,1808.0,ok
calibration,chronological_evaluation_only,current_state_persistence,all,precision,2.0,yellow,0.9337979094076655,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,recall,2.0,yellow,0.9337979094076655,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,f1,2.0,yellow,0.9337979094076655,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,support,2.0,yellow,287.0,287.0,1808.0,ok
calibration,chronological_evaluation_only,current_state_persistence,all,precision,3.0,orange,0.9440559440559441,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,recall,3.0,orange,0.9440559440559441,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,f1,3.0,orange,0.9440559440559441,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,support,3.0,orange,143.0,143.0,1808.0,ok
calibration,chronological_evaluation_only,current_state_persistence,all,precision,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,current_state_persistence,all,recall,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,current_state_persistence,all,f1,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,current_state_persistence,all,support,4.0,red,0.0,0.0,1808.0,absent_target_class
calibration,chronological_evaluation_only,current_state_persistence,all,balanced_accuracy_supported_classes,,,0.9232029271207745,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,ordinal_mae,,,0.08351769911504425,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,quadratic_weighted_kappa,,,0.9457066558905161,,,ok
calibration,chronological_evaluation_only,current_state_persistence,all,false_escalation_vs_proxy_count,,,74.0,74.0,1808.0,ok
calibration,chronological_evaluation_only,current_state_persistence,all,false_escalation_vs_proxy_rate,,,0.04092920353982301,74.0,1808.0,ok
calibration,chronological_evaluation_only,current_state_persistence,all,false_deescalation_vs_proxy_count,,,77.0,77.0,1808.0,ok
calibration,chronological_evaluation_only,current_state_persistence,all,false_deescalation_vs_proxy_rate,,,0.042588495575221236,77.0,1808.0,ok
calibration,chronological_evaluation_only,current_state_persistence,all,multiclass_log_loss,,,,,,probability_not_available
calibration,chronological_evaluation_only,current_state_persistence,all,multiclass_brier,,,,,,probability_not_available
calibration,chronological_evaluation_only,current_state_persistence,all,top_label_ece,,,,,,probability_not_available
calibration,chronological_evaluation_only,ngboost,transition_only,row_count,,,151.0,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,accuracy,,,0.13245033112582782,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,macro_f1_fixed_five,,,0.09547732573363293,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,macro_f1_supported_classes,,,0.11934665716704117,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,precision,0.0,green,0.13559322033898305,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,recall,0.0,green,0.14545454545454545,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,f1,0.0,green,0.14035087719298245,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,support,0.0,green,55.0,55.0,151.0,ok
calibration,chronological_evaluation_only,ngboost,transition_only,precision,1.0,blue,0.1076923076923077,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,recall,1.0,blue,0.10144927536231885,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,f1,1.0,blue,0.1044776119402985,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,support,1.0,blue,69.0,69.0,151.0,ok
calibration,chronological_evaluation_only,ngboost,transition_only,precision,2.0,yellow,0.20833333333333334,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,recall,2.0,yellow,0.2631578947368421,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,f1,2.0,yellow,0.23255813953488372,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,support,2.0,yellow,19.0,19.0,151.0,ok
calibration,chronological_evaluation_only,ngboost,transition_only,precision,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,recall,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,f1,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,support,3.0,orange,8.0,8.0,151.0,ok
calibration,chronological_evaluation_only,ngboost,transition_only,precision,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,ngboost,transition_only,recall,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,ngboost,transition_only,f1,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,ngboost,transition_only,support,4.0,red,0.0,0.0,151.0,absent_target_class
calibration,chronological_evaluation_only,ngboost,transition_only,balanced_accuracy_supported_classes,,,0.1275154288884266,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,ordinal_mae,,,0.8675496688741722,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,quadratic_weighted_kappa,,,0.32235963139323764,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,false_escalation_vs_proxy_count,,,61.0,61.0,151.0,ok
calibration,chronological_evaluation_only,ngboost,transition_only,false_escalation_vs_proxy_rate,,,0.40397350993377484,61.0,151.0,ok
calibration,chronological_evaluation_only,ngboost,transition_only,false_deescalation_vs_proxy_count,,,70.0,70.0,151.0,ok
calibration,chronological_evaluation_only,ngboost,transition_only,false_deescalation_vs_proxy_rate,,,0.46357615894039733,70.0,151.0,ok
calibration,chronological_evaluation_only,ngboost,transition_only,multiclass_log_loss,,,1.873743546765287,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,multiclass_brier,,,1.1801289581685184,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,top_label_ece,,,0.6395806974581502,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,classwise_ece,0.0,green,0.49599017699738945,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_roc_auc,0.0,green,0.4240530303030303,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_pr_auc,0.0,green,0.30772584879150644,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,classwise_ece,1.0,blue,0.5902912850225517,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_roc_auc,1.0,blue,0.2200424178154825,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_pr_auc,1.0,blue,0.32511966740192766,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,classwise_ece,2.0,yellow,0.15509260704593433,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_roc_auc,2.0,yellow,0.8742025518341308,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_pr_auc,2.0,yellow,0.3528087665172601,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,classwise_ece,3.0,orange,0.05009323860559166,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_roc_auc,3.0,orange,0.923513986013986,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_pr_auc,3.0,orange,0.3416666666666667,,,ok
calibration,chronological_evaluation_only,ngboost,transition_only,classwise_ece,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_roc_auc,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest_pr_auc,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,row_count,,,151.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,accuracy,,,0.36423841059602646,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,macro_f1_fixed_five,,,0.10679611650485436,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,macro_f1_supported_classes,,,0.13349514563106796,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,precision,0.0,green,0.36423841059602646,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,recall,0.0,green,1.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,f1,0.0,green,0.5339805825242718,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,support,0.0,green,55.0,55.0,151.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,precision,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,recall,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,f1,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,support,1.0,blue,69.0,69.0,151.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,precision,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,recall,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,f1,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,support,2.0,yellow,19.0,19.0,151.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,precision,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,recall,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,f1,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,support,3.0,orange,8.0,8.0,151.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,precision,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,recall,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,f1,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,support,4.0,red,0.0,0.0,151.0,absent_target_class
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,balanced_accuracy_supported_classes,,,0.25,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,ordinal_mae,,,0.8675496688741722,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,quadratic_weighted_kappa,,,0.0,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,false_escalation_vs_proxy_count,,,0.0,0.0,151.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,false_escalation_vs_proxy_rate,,,0.0,0.0,151.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,false_deescalation_vs_proxy_count,,,96.0,96.0,151.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,false_deescalation_vs_proxy_rate,,,0.6357615894039735,96.0,151.0,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,multiclass_log_loss,,,1.2196845045707438,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,multiclass_brier,,,0.6613889278476784,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,top_label_ece,,,0.12175060039298435,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,classwise_ece,0.0,green,0.12175060039298435,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,0.0,green,0.5,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,0.0,green,0.36423841059602646,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,classwise_ece,1.0,blue,0.06272287315333669,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,1.0,blue,0.5,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,1.0,blue,0.45695364238410596,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,classwise_ece,2.0,yellow,0.029536605778327618,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,2.0,yellow,0.5,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,2.0,yellow,0.12582781456953643,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,classwise_ece,3.0,orange,0.04157903354923223,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,3.0,orange,0.5,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,3.0,orange,0.052980132450331126,,,ok
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,classwise_ece,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_roc_auc,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,one_vs_rest_pr_auc,4.0,red,,,,no_positive_examples
calibration,chronological_evaluation_only,current_state_persistence,transition_only,row_count,,,151.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,accuracy,,,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,macro_f1_fixed_five,,,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,macro_f1_supported_classes,,,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,precision,0.0,green,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,recall,0.0,green,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,f1,0.0,green,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,support,0.0,green,55.0,55.0,151.0,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,precision,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,recall,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,f1,1.0,blue,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,support,1.0,blue,69.0,69.0,151.0,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,precision,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,recall,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,f1,2.0,yellow,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,support,2.0,yellow,19.0,19.0,151.0,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,precision,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,recall,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,f1,3.0,orange,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,support,3.0,orange,8.0,8.0,151.0,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,precision,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,current_state_persistence,transition_only,recall,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,current_state_persistence,transition_only,f1,4.0,red,,,,absent_target_class
calibration,chronological_evaluation_only,current_state_persistence,transition_only,support,4.0,red,0.0,0.0,151.0,absent_target_class
calibration,chronological_evaluation_only,current_state_persistence,transition_only,balanced_accuracy_supported_classes,,,0.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,ordinal_mae,,,1.0,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,quadratic_weighted_kappa,,,0.27719131399587893,,,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,false_escalation_vs_proxy_count,,,74.0,74.0,151.0,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,false_escalation_vs_proxy_rate,,,0.4900662251655629,74.0,151.0,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,false_deescalation_vs_proxy_count,,,77.0,77.0,151.0,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,false_deescalation_vs_proxy_rate,,,0.5099337748344371,77.0,151.0,ok
calibration,chronological_evaluation_only,current_state_persistence,transition_only,multiclass_log_loss,,,,,,probability_not_available
calibration,chronological_evaluation_only,current_state_persistence,transition_only,multiclass_brier,,,,,,probability_not_available
calibration,chronological_evaluation_only,current_state_persistence,transition_only,top_label_ece,,,,,,probability_not_available
test,historical_holdout_evaluation_only,ngboost,all,row_count,,,2288.0,,,ok
test,historical_holdout_evaluation_only,ngboost,all,accuracy,,,0.9471153846153846,,,ok
test,historical_holdout_evaluation_only,ngboost,all,macro_f1_fixed_five,,,0.9253936947860399,,,ok
test,historical_holdout_evaluation_only,ngboost,all,macro_f1_supported_classes,,,0.9253936947860399,,,ok
test,historical_holdout_evaluation_only,ngboost,all,precision,0.0,green,0.9402730375426621,,,ok
test,historical_holdout_evaluation_only,ngboost,all,recall,0.0,green,0.9434931506849316,,,ok
test,historical_holdout_evaluation_only,ngboost,all,f1,0.0,green,0.9418803418803419,,,ok
test,historical_holdout_evaluation_only,ngboost,all,support,0.0,green,584.0,584.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,precision,1.0,blue,0.9587332053742802,,,ok
test,historical_holdout_evaluation_only,ngboost,all,recall,1.0,blue,0.9615014436958614,,,ok
test,historical_holdout_evaluation_only,ngboost,all,f1,1.0,blue,0.9601153291686689,,,ok
test,historical_holdout_evaluation_only,ngboost,all,support,1.0,blue,1039.0,1039.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,precision,2.0,yellow,0.9,,,ok
test,historical_holdout_evaluation_only,ngboost,all,recall,2.0,yellow,0.9395604395604396,,,ok
test,historical_holdout_evaluation_only,ngboost,all,f1,2.0,yellow,0.9193548387096774,,,ok
test,historical_holdout_evaluation_only,ngboost,all,support,2.0,yellow,182.0,182.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,precision,3.0,orange,0.9702970297029703,,,ok
test,historical_holdout_evaluation_only,ngboost,all,recall,3.0,orange,0.7368421052631579,,,ok
test,historical_holdout_evaluation_only,ngboost,all,f1,3.0,orange,0.8376068376068376,,,ok
test,historical_holdout_evaluation_only,ngboost,all,support,3.0,orange,133.0,133.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,precision,4.0,red,0.943089430894309,,,ok
test,historical_holdout_evaluation_only,ngboost,all,recall,4.0,red,0.9942857142857143,,,ok
test,historical_holdout_evaluation_only,ngboost,all,f1,4.0,red,0.9680111265646731,,,ok
test,historical_holdout_evaluation_only,ngboost,all,support,4.0,red,350.0,350.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,balanced_accuracy_supported_classes,,,0.915136570698021,,,ok
test,historical_holdout_evaluation_only,ngboost,all,ordinal_mae,,,0.052884615384615384,,,ok
test,historical_holdout_evaluation_only,ngboost,all,quadratic_weighted_kappa,,,0.9852790132353182,,,ok
test,historical_holdout_evaluation_only,ngboost,all,false_escalation_vs_proxy_count,,,60.0,60.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,false_escalation_vs_proxy_rate,,,0.026223776223776224,60.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,false_deescalation_vs_proxy_count,,,61.0,61.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,false_deescalation_vs_proxy_rate,,,0.02666083916083916,61.0,2288.0,ok
test,historical_holdout_evaluation_only,ngboost,all,multiclass_log_loss,,,0.1367506175857372,,,ok
test,historical_holdout_evaluation_only,ngboost,all,multiclass_brier,,,0.07547084120383646,,,ok
test,historical_holdout_evaluation_only,ngboost,all,top_label_ece,,,0.020659411169349558,,,ok
test,historical_holdout_evaluation_only,ngboost,all,classwise_ece,0.0,green,0.017075487364791708,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_roc_auc,0.0,green,0.9960110979805776,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_pr_auc,0.0,green,0.9894882543565239,,,ok
test,historical_holdout_evaluation_only,ngboost,all,classwise_ece,1.0,blue,0.023982656614628377,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_roc_auc,1.0,blue,0.9951345099178476,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_pr_auc,1.0,blue,0.9939438851260061,,,ok
test,historical_holdout_evaluation_only,ngboost,all,classwise_ece,2.0,yellow,0.014152679445376563,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_roc_auc,2.0,yellow,0.9965391920520125,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_pr_auc,2.0,yellow,0.9714396544950377,,,ok
test,historical_holdout_evaluation_only,ngboost,all,classwise_ece,3.0,orange,0.013020961382802088,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_roc_auc,3.0,orange,0.9969767806988469,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_pr_auc,3.0,orange,0.9474774322210212,,,ok
test,historical_holdout_evaluation_only,ngboost,all,classwise_ece,4.0,red,0.006592687479862565,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_roc_auc,4.0,red,0.9993225711337166,,,ok
test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest_pr_auc,4.0,red,0.9955718623989988,,,ok
test,historical_holdout_evaluation_only,fit_majority_prior,all,row_count,,,2288.0,,,ok
