origin,method,seed,horizon,point,error,absolute_error,squared_error
792,BPLUS_ORIGIN_ANCHOR,1,1,ATU5,0.055573048073256359,0.055573048073256359,0.0030883636721524624
792,BPLUS_ORIGIN_ANCHOR,1,1,MJ3,0.030119264078393826,0.030119264078393826,0.00090717006862402465
792,BPLUS_ORIGIN_ANCHOR,1,1,MJ1,0.096519856960412653,0.096519856960412653,0.0093160827876585181
792,BPLUS_ORIGIN_ANCHOR,1,7,ATU1,1.1430490768462391,1.1430490768462391,1.3065611920790394
792,BPLUS_ORIGIN_ANCHOR,1,7,ATU5,0.61072685808346705,0.61072685808346705,0.3729872951845033
792,BPLUS_ORIGIN_ANCHOR,1,7,MJ3,0.063467732325307225,0.063467732325307225,0.0040281530465168473
792,BPLUS_ORIGIN_ANCHOR,1,7,MJ1,0.75314369517820978,0.75314369517820978,0.5672254255866882
792,BPLUS_ORIGIN_ANCHOR,1,30,ATU1,7.0103954634330421,7.0103954634330421,49.145644553722576
792,BPLUS_ORIGIN_ANCHOR,1,30,ATU5,5.6684571478983798,5.6684571478983798,32.131406437560237
792,BPLUS_ORIGIN_ANCHOR,1,30,MJ3,-0.3006990060298449,0.3006990060298449,0.090419892227336693
792,BPLUS_ORIGIN_ANCHOR,1,30,MJ1,6.016235054769254,6.016235054769254,36.195084234234407
792,BPLUS_ORIGIN_ANCHOR,2,1,ATU1,0.11185257180176222,0.11185257180176222,0.012510997818668374
792,BPLUS_ORIGIN_ANCHOR,2,1,ATU5,0.055573048073256359,0.055573048073256359,0.0030883636721524624
792,BPLUS_ORIGIN_ANCHOR,2,1,MJ3,0.030119264078393826,0.030119264078393826,0.00090717006862402465
792,BPLUS_ORIGIN_ANCHOR,2,1,MJ1,0.096519856960412653,0.096519856960412653,0.0093160827876585181
792,BPLUS_ORIGIN_ANCHOR,2,7,ATU1,1.1430490768462391,1.1430490768462391,1.3065611920790394
792,BPLUS_ORIGIN_ANCHOR,2,7,ATU5,0.61072685808346705,0.61072685808346705,0.3729872951845033
792,BPLUS_ORIGIN_ANCHOR,2,7,MJ3,0.063467732325307225,0.063467732325307225,0.0040281530465168473
