origin,method,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,BPLUS_CONTINUOUS,ATU1,293,29.335478509690908,32.877890262058848,27.769809438054018,0.064846416382252553,7.4327035636015353,264.80052630730955,0.068259385665529013,9.53977174492376,504.57470014981777,0.068259385665529013,11.367339156759497,967.38082030571661
792,BPLUS_CONTINUOUS,ATU5,293,37.540839766187069,42.775051365351246,34.66375960584616,0.21843003412969283,14.850198314250747,322.46958788509306,0.23549488054607509,19.060023189752656,601.77035165188488,0.24232081911262798,22.711418441317392,1132.5587555060624
792,BPLUS_CONTINUOUS,MJ3,293,5.2911468095600966,9.1163682048876531,19.795751435674784,1,212.78477852195923,212.78477852195923,1,273.10630654426768,273.10630654426768,1,325.42623611414683,325.42623611414683
792,BPLUS_CONTINUOUS,MJ1,293,22.162592224474757,24.483988940646118,14.400025582886581,0.91467576791808869,64.968285612534814,71.109216679840287,0.96928327645051193,83.385891835873934,85.516525147200809,1,99.360418543726865,99.360418543726865
792,BPLUS_ORIGIN_ANCHOR,ATU1,293,29.315155514329426,32.859758238927526,27.74841359916762,0.064846416382252553,7.4418680391167964,264.57678860280299,0.068259385665529013,9.5515342219051789,504.09815164784703,0.068259385665529013,11.381355012562715,966.37622291226046
792,BPLUS_ORIGIN_ANCHOR,ATU5,293,37.532022682040939,42.767313401278095,34.656148565982249,0.21843003412969283,14.848642431142709,322.40520047797162,0.23549488054607509,19.058026235402849,601.648807396405,0.24232081911262798,22.709038923444041,1132.3252133675064
792,BPLUS_ORIGIN_ANCHOR,MJ3,293,5.2301273262399341,9.0608460945733817,19.789393995040605,1,212.76731434285966,212.76731434285966,1,273.08389151306255,273.08389151306255,1,325.39952695707962,325.39952695707962
792,BPLUS_ORIGIN_ANCHOR,MJ1,293,22.181406781202181,24.501020940574996,14.411090671516195,0.91467576791808869,64.960264711083028,71.120671040720694,0.96928327645051193,83.375597120312705,85.520951061712765,1,99.348151633528687,99.348151633528687
792,DRIFT1,ATU1,293,5.9813792142944369,6.8635290099170927,7.8248223249987445,1,79.195486039368689,79.195486039368689,1,101.64630589381215,101.64630589381215,1,121.11904393745239,121.11904393745239
792,DRIFT1,ATU5,293,5.2546804338996838,6.5132103689305554,11.107852044033262,1,117.80226627509001,117.80226627509001,1,151.19757187713526,151.19757187713526,1,180.16301911211576,180.16301911211576
792,DRIFT1,MJ3,293,2.5771279957390369,3.0088285939791439,2.1214085025366054,1,17.672440570802792,17.672440570802792,1,22.682331910395078,22.682331910395078,1,27.027665502463151,27.027665502463151
792,DRIFT1,MJ1,293,6.0268658593804041,6.9115107851665174,4.0422043693552752,0.93515358361774747,21.768134553063646,21.904386729908339,1,27.939098226108854,27.939098226108854,1,33.291488912110943,33.291488912110943
792,RR_COND,ATU1,293,37.974720687292688,40.985804802484971,28.870979923417643,0.19112627986348124,46.220192834401367,209.03141892912953,0.2764505119453925,59.322975263780542,285.69776302891432,0.37542662116040953,70.687684951191542,371.71039186837953
792,RR_COND,ATU5,293,39.785641871996496,44.532580148377896,35.753354804367142,0.051194539249146756,18.794455370981723,324.01442638150553,0.08191126279863481,24.122422315796257,584.85032741619591,0.10238907849829351,28.743639059514177,1066.410516102914
792,RR_COND,MJ3,293,18.499927680220548,20.942476315535973,23.574745954594768,1,238.16140974428751,238.16140974428751,1,305.67686010456828,305.67686010456828,1,364.2364444443769,364.2364444443769
792,RR_COND,MJ1,293,13.713313454202529,18.802834542841602,10.573034394100914,0.90102389078498291,63.065915681370825,77.15812007353216,0.93856655290102387,80.944226463049972,94.332414129235644,0.94880546075085326,96.450994802537934,106.00801335501552
792,G_CACHED,ATU1,293,19.991715372628583,23.104569781165743,16.74217986361278,0.25255972696245732,19.187222782651357,140.16434150801669,0.26279863481228671,24.626533831089549,226.15305811860944,0.26621160409556316,29.344324979511843,362.95751398487818
792,G_CACHED,ATU5,293,29.060882447792473,33.464110963293344,24.626557257113365,0.26621160409556316,27.420730226487194,209.09067564478298,0.27303754266211605,35.194126228958119,341.74153001386435,0.27303754266211605,41.93638798362781,557.0037720896413
792,G_CACHED,MJ3,293,3.6744058191793161,5.1168290497403168,18.960772611372469,1,206.5382621501731,206.5382621501731,1,265.08898957772226,265.08898957772226,1,315.87301371818512,315.87301371818512
792,G_CACHED,MJ1,293,14.20520628895628,15.802713764397582,9.4393367641084822,0.97269624573378843,58.328250577459805,59.049652710084466,1,74.863499133020454,74.863499133020454,1,89.205361287563846,89.205361287563846
