model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse
B_RAW,1,180,18.3021257067,22.2447948335,,,,,,,,,,,32.0846130777
B_RAW,2,179,18.4034773327,22.3068383059,,,,,,,,,,,32.1741070594
B_RAW,3,178,18.5045831316,22.3693730784,,,,,,,,,,,32.2643370145
B_RAW,4,177,18.6057320629,22.4323919558,,,,,,,,,,,32.3553064828
B_RAW,5,176,18.7066790346,22.4958718326,,,,,,,,,,,32.4470085108
B_RAW,6,175,18.8074594156,22.5598025473,,,,,,,,,,,32.5394447592
B_RAW,7,174,18.9082001135,22.6241804534,,,,,,,,,,,32.6326207337
B_RAW,8,173,19.0086924719,22.6889747551,,,,,,,,,,,32.7265220484
B_RAW,9,172,19.1088226908,22.7541560892,,,,,,,,,,,32.8211366484
B_RAW,10,171,19.2084951643,22.8196894642,,,,,,,,,,,32.9164497451
B_RAW,11,170,19.3075804451,22.8855320282,,,,,,,,,,,33.012438375
B_RAW,12,169,19.406475706,22.9517251466,,,,,,,,,,,33.1091196897
B_RAW,13,168,19.505477714,23.0183001737,,,,,,,,,,,33.2065155233
B_RAW,14,167,19.6049408957,23.0852937546,,,,,,,,,,,33.3046605266
B_RAW,15,166,19.7054262309,23.1527615262,,,,,,,,,,,33.4036103964
B_RAW,16,165,19.8053825817,23.2205104394,,,,,,,,,,,33.5032188686
B_RAW,17,164,19.9056561566,23.2886351408,,,,,,,,,,,33.6035695086
B_RAW,18,163,20.0070776876,23.3572342435,,,,,,,,,,,33.7047537378
B_RAW,19,162,20.1098646615,23.4263237807,,,,,,,,,,,33.8067996508
B_RAW,20,161,20.213968999,23.4959031732,,,,,,,,,,,33.9097233166
B_RAW,21,160,20.3194732297,23.5659634282,,,,,,,,,,,34.0135339874
B_RAW,22,159,20.4264471872,23.6364937466,,,,,,,,,,,34.1182394812
B_RAW,23,158,20.5340218228,23.7074715836,,,,,,,,,,,34.2238372115
B_RAW,24,157,20.6414217491,23.7787956501,,,,,,,,,,,34.3302534496
B_RAW,25,156,20.7485708502,23.8504925298,,,,,,,,,,,34.4375170804
B_RAW,26,155,20.8554661063,23.9225696172,,,,,,,,,,,34.5456465526
B_RAW,27,154,20.9621264113,23.9950228012,,,,,,,,,,,34.6546561498
B_RAW,28,153,21.0685720017,24.0677147597,,,,,,,,,,,34.7644288113
B_RAW,29,152,21.1746529922,24.1406793914,,,,,,,,,,,34.8750050486
B_RAW,30,151,21.2803591525,24.2139319816,,,,,,,,,,,34.9864133191
B_ANCHOR,1,180,0.371283188429,0.477040557453,0.289767857492,0.894444444444,1.6744095146,2.07531412988,0.941666666667,2.14908134572,2.63144333044,0.959722222222,2.56078836952,3.19850410484,0.502051702252
B_ANCHOR,2,179,0.737611396243,0.940467551597,0.576417095683,0.891061452514,3.32583936642,4.13342300914,0.932960893855,4.26866861357,5.2665781783,0.959497206704,5.08643237759,6.37832751858,0.990547107647
B_ANCHOR,3,178,1.09815600171,1.39091283044,0.859509457278,0.88904494382,4.95376038375,6.18228925334,0.929775280899,6.35808261901,7.86789047173,0.955056179775,7.57612272594,9.53230977714,1.46646834594
B_ANCHOR,4,177,1.45215125049,1.82975628827,1.13923183419,0.888418079096,6.5588028361,8.21278282563,0.925141242938,8.4181323042,10.4475826478,0.950564971751,10.0308233286,12.6344860866,1.93160059038
B_ANCHOR,5,176,1.80163669176,2.25786044864,1.41521270106,0.887784090909,8.14180525313,10.2158535383,0.926136363636,10.4498939103,12.9862827566,0.951704545455,12.451816606,15.7228360289,2.38700745317
B_ANCHOR,6,175,2.14536689992,2.67545025663,1.68726204972,0.881428571429,9.70297369167,12.1813910883,0.924285714286,12.4536319084,15.495916439,0.945714285714,14.8394176949,18.7572387652,2.83289070603
B_ANCHOR,7,174,2.48871281374,3.08234746199,1.95566498601,0.879310344828,11.241883774,14.106947374,0.918103448276,14.4288016157,17.9488584502,0.949712643678,17.1929775656,21.6820458265,3.26902366616
B_ANCHOR,8,173,2.82860781349,3.47849804495,2.22090973081,0.878612716763,12.7574007558,15.9872061737,0.916184971098,16.3739466033,20.3558117885,0.947976878613,19.5107607762,24.5093774756,3.69534788144
B_ANCHOR,9,172,3.16518817755,3.86429956927,2.4832456858,0.879360465116,14.2500464202,17.8567640964,0.911337209302,18.289736573,22.7111215356,0.949127906977,21.7935653254,27.2243873761,4.11234370275
B_ANCHOR,10,171,3.49587667173,4.24091216613,2.7432113815,0.872807017544,15.7212852422,19.7281703571,0.909356725146,20.1780511579,25.0779129875,0.945906432749,24.0436309345,29.8761819768,4.52135018921
B_ANCHOR,11,170,3.82022991333,4.61005579985,3.00151810629,0.869117647059,17.1746569366,21.6210357714,0.904411764706,22.0434335327,27.47748552,0.935294117647,26.2663711298,32.6394241847,4.92428576463
B_ANCHOR,12,169,4.13758079878,4.97396038007,3.25888337547,0.866863905325,18.6151514906,23.5209824401,0.905325443787,23.8922882768,29.9284873892,0.927514792899,28.4694174384,35.6374479469,5.32349929797
B_ANCHOR,13,168,4.45340135016,5.33400535596,3.51592059607,0.866071428571,20.0505563835,25.4180160002,0.904761904762,25.7346105115,32.3808284026,0.928571428571,30.664679782,38.6931787682,5.72043457012
B_ANCHOR,14,167,4.76516080765,5.69178117948,3.77352603155,0.866766467066,21.4900694255,27.3161216921,0.904191616766,27.5822054987,34.8108228208,0.928143712575,32.8662249977,41.7355010622,6.11682513652
B_ANCHOR,15,166,5.074348054,6.0480342183,4.03224927202,0.862951807229,22.9441896072,29.221176492,0.899096385542,29.4485485466,37.2275667431,0.924698795181,35.0901099055,44.7164841783,6.51343334968
B_ANCHOR,16,165,5.37825310166,6.40286524553,4.29245381954,0.860606060606,24.4151738746,31.1571946811,0.898484848485,31.3365364142,39.6837773471,0.927272727273,37.3397862069,47.6871618571,6.91020706795
B_ANCHOR,17,164,5.68155024357,6.75769911433,4.55477868421,0.853658536585,25.9128048161,33.1338484199,0.897865853659,33.2587249176,42.1665948267,0.923780487805,39.6302150795,50.6592290189,7.30861449297
B_ANCHOR,18,163,5.98667591761,7.11331496355,4.81973460847,0.846625766871,27.4451369916,35.1527789763,0.898773006135,35.2254519728,44.6946304296,0.923312883436,41.9737149097,53.6144390911,7.70943228998
B_ANCHOR,19,162,6.2975327361,7.46913797106,5.08786109902,0.844135802469,29.0195081001,37.2207431646,0.899691358025,37.2461354144,47.2435136492,0.925925925926,44.3815077399,56.617310038,8.1120236945
B_ANCHOR,20,161,6.61471802557,7.82435723577,5.35974778637,0.840062111801,30.6427610495,39.3470775932,0.899068322981,39.3295580195,49.8916543894,0.923913043478,46.8640588943,59.6432837563,8.5155161581
B_ANCHOR,21,160,6.93819913419,8.17851820896,5.63593795748,0.8375,32.3158581658,41.522983507,0.89375,41.4769549203,52.6368689642,0.91875,49.4228401239,62.7729613122,8.91942141082
B_ANCHOR,22,159,7.2617323956,8.53142629708,5.91550688589,0.836477987421,34.0252020447,43.7343767716,0.889937106918,43.6708740372,55.4472670325,0.919811320755,52.0370559932,66.0413772094,9.32353595976
B_ANCHOR,23,158,7.58542929514,8.88251985405,6.19734978559,0.832278481013,35.7572495739,45.9632463456,0.89082278481,45.8939329737,58.2849656177,0.920886075949,54.6859940991,69.3948802095,9.7272409605
B_ANCHOR,24,157,7.90762038824,9.23072101156,6.4806272749,0.826433121019,37.5029201964,48.1905202765,0.888535031847,48.1344769613,61.113607062,0.920382165605,57.3557669284,72.7581502621,10.1293645503
B_ANCHOR,25,156,8.22737379543,9.57535081118,6.76486974828,0.825320512821,39.2583090345,50.4209340308,0.887820512821,50.3874941434,63.9190624673,0.919871794872,60.0404024858,76.0915440932,10.5292232802
B_ANCHOR,26,155,8.54568444983,9.91580287936,7.04973123745,0.824193548387,41.0211764304,52.6555090984,0.887096774194,52.6501099506,66.7180864374,0.91935483871,62.7364755103,79.3438670851,10.9262592763
B_ANCHOR,27,154,8.8621405792,10.251687062,7.33496599882,0.821428571429,42.7895795369,54.9009768408,0.886363636364,54.9198307656,69.5128575762,0.917207792208,65.4410146738,82.5070319508,11.3201991685
B_ANCHOR,28,153,9.17627469012,10.5824170917,7.62025485821,0.812091503268,44.5627332268,57.1568857475,0.887254901961,57.1956488882,72.3096779644,0.910130718954,68.1528192275,85.6659205385,11.7105174437
