model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
B_ANCHOR,1,ATU1,370,0.180193703566126,0.447552849316622,0.169092235437999,0.810810810810811,0.866011252957638,1.4146551919087,0.894594594594595,1.111513409765,2.04607320440602,0.954054054054054,1.32444991808198,3.03616154070737
B_ANCHOR,1,ATU5,370,0.203112537211693,0.641967036827782,0.213471436685634,0.845945945945946,1.13468032877895,1.89737049287589,0.9,1.45634643536909,2.77447360296386,0.948648648648649,1.73534381148974,4.11879026699463
B_ANCHOR,1,MJ3,370,0.261997652339793,0.466912416201066,0.204840119402341,0.818918918918919,0.873963912188675,1.49368836891594,0.897297297297297,1.12172053738421,2.02203148277419,0.916216216216216,1.33661246081006,2.71469203675402
B_ANCHOR,1,MJ1,370,0.237951436215845,0.318833422890744,0.161377540878842,0.783783783783784,0.603243617594041,0.95745186089424,0.894594594594595,0.774254800986668,1.23088575616682,0.905405405405405,0.922581499001589,1.57375883225377
B_ANCHOR,2,ATU1,370,0.356563837525899,0.883487859198084,0.335752385455759,0.818918918918919,1.69456959944323,2.80164798187703,0.918918918918919,2.17495653448906,4.10531999538105,0.954054054054054,2.59162055862638,6.20636868750864
B_ANCHOR,2,ATU5,370,0.419111530695044,1.37675550887804,0.45461168108378,0.854054054054054,2.41831308968202,4.13315900413818,0.9,3.1038712476445,6.17224875890465,0.954054054054054,3.69849070966125,9.40108661268429
B_ANCHOR,2,MJ3,370,0.519764427735366,0.925039918789241,0.409612424893554,0.827027027027027,1.74457014698966,3.01626201045714,0.9,2.23913154249689,4.14159839647638,0.916216216216216,2.66808979719081,5.65460244910871
B_ANCHOR,2,MJ1,370,0.473769297855679,0.634916020805975,0.322756483024597,0.781081081081081,1.19881916755316,1.9369319358871,0.891891891891892,1.5386677437133,2.51007153203893,0.902702702702703,1.8334357005619,3.26494219083213
B_ANCHOR,3,ATU1,370,0.528959287365228,1.30312685385554,0.500469142338229,0.818918918918919,2.4821593806718,4.16637991851192,0.924324324324324,3.18581707497242,6.1437687881978,0.945945945945946,3.79613518550663,9.37837997931309
B_ANCHOR,3,ATU5,370,0.650741961331051,2.19741377403864,0.725196284230959,0.856756756756757,3.84191357686677,6.71004304806444,0.910810810810811,4.93104269172186,10.1857114873475,0.954054054054054,5.87569977270045,15.8252263457073
B_ANCHOR,3,MJ3,370,0.77340110527165,1.37446522641105,0.614174271334602,0.843243243243243,2.61041733899546,4.57131457394518,0.897297297297297,3.35043438230989,6.35127528331633,0.913513513513514,3.9922888056992,8.80941903640159
B_ANCHOR,3,MJ1,370,0.707326451043289,0.948174852865468,0.484030250283739,0.786486486486486,1.78745976215759,2.93632120042881,0.881081081081081,2.29417976760484,3.83731802396158,0.902702702702703,2.73368380315984,5.06934656358755
B_ANCHOR,4,ATU1,370,0.697224248953196,1.70750864124019,0.662068447520246,0.808108108108108,3.23245083484134,5.49524047953049,0.918918918918919,4.14880573094353,8.14514065005354,0.945945945945946,4.94360694366065,12.503478124031
B_ANCHOR,4,ATU5,370,0.896327706517233,3.0924233070811,1.02246713478847,0.859459459459459,5.38362099955797,9.58870522586979,0.910810810810811,6.90980274640135,14.7337430109477,0.954054054054054,8.2335378062319,23.2132759870395
B_ANCHOR,4,MJ3,370,1.0229260997609,1.81530476235531,0.818314122111313,0.845945945945946,3.46680218791085,6.15193713307769,0.9,4.44959243624754,8.64171647833482,0.910810810810811,5.30201640925968,12.1546592684762
B_ANCHOR,4,MJ1,370,0.938679327422612,1.25863641816524,0.645195944268147,0.791891891891892,2.36777192988122,3.95692996836065,0.872972972972973,3.03900237132009,5.21484696988802,0.9,3.62119467600197,6.98568916545887
B_ANCHOR,5,ATU1,370,0.862540133135899,2.09950293967191,0.820808010454548,0.805405405405405,3.95375496630326,6.78386516707198,0.916216216216216,5.07458956100428,10.0750571435967,0.943243243243243,6.04674641738486,15.4986931519878
B_ANCHOR,5,ATU5,370,1.15542102095112,4.05029853411984,1.34356785248126,0.859459459459459,7.02358545773316,12.7292956792872,0.913513513513514,9.01467434082265,19.7484399766673,0.951351351351351,10.7416470078957,31.4442656407904
B_ANCHOR,5,MJ3,370,1.26841775282435,2.24768386263735,1.02173124813765,0.859459459459459,4.30950293957494,7.75072487852573,0.9,5.53118714150655,10.9995373435348,0.910810810810811,6.59081599205648,15.6800022444168
B_ANCHOR,5,MJ1,370,1.16796515960786,1.56636215018732,0.806301415450102,0.791891891891892,2.93740299259172,4.99734156796613,0.867567567567568,3.77011592516715,6.64045645256788,0.897297297297297,4.49237020838361,9.00347293227079
B_ANCHOR,6,ATU1,370,1.02512500682886,2.48130602729431,0.97725464306247,0.786486486486486,4.65269346458918,8.05370251693442,0.908108108108108,5.97166741165873,11.9150823078703,0.940540540540541,7.11568060690907,18.2854755337903
B_ANCHOR,6,ATU5,370,1.4270202253575,5.06033821816918,1.6853633496344,0.862162162162162,8.74413984043811,16.0909742041035,0.910810810810811,11.2229819835642,25.1603642735379,0.948648648648649,13.3730078631347,40.4085302871166
B_ANCHOR,6,MJ3,370,1.50994707528555,2.6717300133229,1.22419334072513,0.864864864864865,5.13621892500584,9.36301564116293,0.897297297297297,6.59226562141685,13.418685808893,0.908108108108108,7.85516898451647,19.3626601835906
B_ANCHOR,6,MJ1,370,1.39522081321764,1.8714284072521,0.967414256628314,0.786486486486486,3.49470566035536,6.05622862086448,0.862162162162162,4.48540615540554,8.10817387866878,0.897297297297297,5.34469108775506,11.1197341776442
B_ANCHOR,7,ATU1,370,1.185303067162,2.85430750534073,1.13165149088963,0.762162162162162,5.33396964081249,9.30285202038186,0.902702702702703,6.84607591736747,13.6933725696167,0.935135135135135,8.1576026058537,20.9662811878231
B_ANCHOR,7,ATU5,370,1.70932141893873,6.11234565912043,2.04334420469802,0.856756756756757,10.5295628694569,19.6210113989913,0.913513513513514,13.5145476324862,30.8606940547374,0.948648648648649,16.1035767517601,49.8742118786753
B_ANCHOR,7,MJ3,370,1.74766520778776,3.08757054889962,1.42570709800847,0.864864864864865,5.94967806836143,10.9903771345517,0.897297297297297,7.63632912873014,15.8971739074687,0.908108108108108,9.0992473866167,23.201913250586
B_ANCHOR,7,MJ1,370,1.6204886147863,2.1739187255034,1.12851905239371,0.786486486486486,4.04204939382618,7.13311756400085,0.862162162162162,5.18791423186052,9.61308642816751,0.894594594594595,6.18178109147302,13.3389046866291
DRIFT1,1,ATU1,370,0.00326572472954099,0.00415843344969225,0.00233627365713528,0.754054054054054,0.0102746042273729,0.0150070175772587,0.87027027027027,0.0131873117580706,0.0177092737672733,0.927027027027027,0.0157136511572939,0.0200381197629136
DRIFT1,1,ATU5,370,0.00228786775363503,0.0028907744059675,0.00172665116427113,0.791891891891892,0.00871126667610571,0.0117721305643696,0.878378378378378,0.0111807897339218,0.0145814683443239,0.921621621621622,0.0133227326967754,0.0171890420465308
DRIFT1,1,MJ3,370,0.0018981730364879,0.00247584163293183,0.00138683134541098,0.781081081081081,0.00623770585365172,0.00938334267815097,0.856756756756757,0.00800600878894477,0.0114894243337034,0.897297297297297,0.00953974787127565,0.0136056197791264
DRIFT1,1,MJ1,370,0.00239330949582842,0.00340901782857501,0.00186427480721196,0.775675675675676,0.00819833443880344,0.0134130304860792,0.827027027027027,0.0105224483346467,0.0178141787412937,0.851351351351351,0.0125382705349337,0.0228079673802645
DRIFT1,2,ATU1,370,0.00978434973267827,0.0124593037431647,0.0070125504669166,0.751351351351351,0.0308317725613159,0.0451786791465946,0.87027027027027,0.0395721516685715,0.0535692561283357,0.92972972972973,0.0471531270566009,0.0614762792086176
