model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
B_ANCHOR,1,ATU1,180,0.225624590530552,0.35638315145989,0.185799530483525,0.655555555555556,0.763314230788993,1.47797359517868,0.677777777777778,0.979703208807991,2.12776889260793,0.688888888888889,1.16738837629023,3.02340063293164
B_ANCHOR,1,ATU5,180,0.211487894102948,0.2474382674499,0.149272751831263,0.65,0.53179966293482,0.964728602154402,0.727777777777778,0.68255747791013,1.25322718424509,0.788888888888889,0.813317399288467,1.57230265275725
B_ANCHOR,1,MJ3,180,0.540046328901792,0.591799878754603,0.366611479961542,0.5,1.1783560733468,2.08373251206708,0.65,1.51240364663839,2.35923505094503,0.822222222222222,1.80214009862516,2.72029874569936
B_ANCHOR,1,MJ1,180,0.256747651727763,0.293561691949477,0.182106154464067,0.611111111111111,0.663316743184499,1.11036927495961,0.794444444444444,0.851357822953466,1.40733960531251,0.844444444444444,1.01445541633867,1.85392614719782
B_ANCHOR,2,ATU1,179,0.432509037405957,0.683025460760333,0.361977268668474,0.675977653631285,1.4642459873653,2.92152642840239,0.698324022346369,1.87933937878142,4.25731657276119,0.709497206703911,2.23937099130593,6.16622987491056
B_ANCHOR,2,ATU5,179,0.420826161514324,0.492658833300224,0.298586844654531,0.664804469273743,1.05300289462343,1.95669664217313,0.720670391061452,1.35151458355538,2.57771109890831,0.782122905027933,1.61042895546799,3.28775979435658
B_ANCHOR,2,MJ3,179,1.0745185157926,1.17654131918343,0.732361865353054,0.480446927374302,2.30251495503078,4.19025247926237,0.620111731843575,2.95524595085876,4.78016438973198,0.810055865921788,3.52139274536911,5.47580509328602
B_ANCHOR,2,MJ1,179,0.508088047290359,0.577536789757417,0.361099467469389,0.614525139664804,1.30134891355219,2.22262788922276,0.798882681564246,1.67026324803095,2.84365580168733,0.849162011173184,1.99024141552878,3.854663049186
B_ANCHOR,3,ATU1,178,0.629644081910408,0.986573348918258,0.531905802707892,0.691011235955056,2.11894106520817,4.33780283074436,0.702247191011236,2.71963141406875,6.38975553284481,0.719101123595506,3.24064070836361,9.38999083099122
B_ANCHOR,3,ATU5,178,0.630029707207728,0.739362394093136,0.449415533024262,0.662921348314607,1.5732391148458,2.97264851767416,0.724719101123595,2.01923054342052,3.98234212147892,0.764044943820225,2.40606159523288,5.1343062228779
B_ANCHOR,3,MJ3,178,1.60826758501648,1.76070173092427,1.10060210216821,0.443820224719101,3.3930891514869,6.34773647468359,0.606741573033708,4.35498277825534,7.31566508380658,0.792134831460674,5.18928204845336,8.40289406728757
B_ANCHOR,3,MJ1,178,0.767270861859579,0.868107507610117,0.54558690970693,0.612359550561798,1.94742935267833,3.37425352510847,0.792134831460674,2.49949851422754,4.36575449616002,0.848314606741573,2.97833617960092,6.01873911227112
B_ANCHOR,4,ATU1,177,0.818361940156219,1.27003700125179,0.696669592689559,0.700564971751412,2.73466224681686,5.72799564264603,0.706214689265537,3.50990099508987,8.51725231588357,0.72316384180791,4.18230499477775,12.6535421594144
B_ANCHOR,4,ATU5,177,0.838724554735111,0.988018380847396,0.601535499848036,0.655367231638418,2.09684465352325,4.02464494043122,0.717514124293785,2.69127097670538,5.44653315447315,0.76271186440678,3.20684716290326,7.07486411757389
