strategy,part,days,point_days,aggregation,mae_mm,rmse_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
M0,train,762,3048,point_mean,9.58134502764985,12.832358611170498,,,,,,,,,,
M0,train,762,3048,pooled,9.58134502764985,13.223619283436893,,,,,,,,,,
M0,prediction,376,1504,point_mean,33.265136851962,41.36837187193975,,,,,,,,,,
M0,prediction,376,1504,pooled,33.265136851962,41.604479880077754,,,,,,,,,,
v1.1-e0,train,762,3048,point_mean,9.58134502764985,12.832358611170498,7.064727187359233,0.823490813648294,33.893500099613874,47.889283919504656,0.895997375328084,43.501836141248674,58.040629205777535,0.964238845144357,51.835635679296686,70.45531432063801
v1.1-e0,train,762,3048,pooled,9.58134502764985,13.223619283436893,7.064727187359233,0.823490813648294,33.893500099613874,47.889283919504656,0.895997375328084,43.501836141248674,58.040629205777535,0.964238845144357,51.835635679296686,70.45531432063801
v1.1-e0,prediction,376,1504,point_mean,33.265136851962,41.36837187193975,28.11559583173335,0.33976063829787234,33.89350009961387,237.58512950612663,0.3623670212765957,43.50183614124855,388.4387048718088,0.3863031914893617,51.83563567929676,637.3637622539766
v1.1-e0,prediction,376,1504,pooled,33.265136851962,41.604479880077754,28.11559583173335,0.33976063829787234,33.89350009961387,237.58512950612663,0.3623670212765957,43.50183614124855,388.4387048718088,0.3863031914893617,51.83563567929676,637.3637622539766
BPLUS_GP,train,762,3048,point_mean,0.00044011338693161176,0.0015288687413844498,0.00411501858976513,0.9986876640419948,0.04429745644224373,0.04458463824631916,0.9990157480314961,0.0568551700441948,0.05731345365143106,0.9993438320209973,0.06774711357855365,0.06850315490360884
BPLUS_GP,train,762,3048,pooled,0.00044011338693161176,0.0021182966477934825,0.00411501858976513,0.9986876640419948,0.04429745644224373,0.04458463824631916,0.9990157480314961,0.0568551700441948,0.05731345365143106,0.9993438320209973,0.06774711357855365,0.06850315490360884
BPLUS_GP,prediction,376,1504,point_mean,32.88545586158976,41.197621955939766,25.176624893911303,0.4507978723404255,51.10772059774109,179.724834218585,0.567154255319149,65.59604949201298,263.53184150412943,0.6761968085106382,78.16251383620799,416.55536326137394
BPLUS_GP,prediction,376,1504,pooled,32.88545586158976,41.440840195045524,25.176624893911303,0.4507978723404255,51.10772059774109,179.724834218585,0.567154255319149,65.59604949201298,263.53184150412943,0.6761968085106382,78.16251383620799,416.55536326137394
