phase,model,horizon,passed,mean_mae_better_B,mean_rmse_better_B,mean_crps_better_B,mean_interval_score90_better_B,no_worse_drift_rmse,no_worse_drift_crps,average_coverage90,ATU1_mae,ATU1_rmse,ATU1_crps,ATU1_interval_score90,ATU1_coverage90,ATU5_mae,ATU5_rmse,ATU5_crps,ATU5_interval_score90,ATU5_coverage90,MJ3_mae,MJ3_rmse,MJ3_crps,MJ3_interval_score90,MJ3_coverage90,MJ1_mae,MJ1_rmse,MJ1_crps,MJ1_interval_score90,MJ1_coverage90,physical_contract
later_exploratory,B_ANCHOR,1,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,DRIFT1,1,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True
later_exploratory,RR_DIRECT,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_DIRECT,1,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_BRES,1,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,B_ANCHOR,2,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,DRIFT1,2,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,RR_DIRECT,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_DIRECT,2,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_BRES,2,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,B_ANCHOR,3,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,DRIFT1,3,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,RR_DIRECT,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_DIRECT,3,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_BRES,3,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,B_ANCHOR,4,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,DRIFT1,4,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,RR_DIRECT,4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_DIRECT,4,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_BRES,4,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True
later_exploratory,B_ANCHOR,5,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,DRIFT1,5,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,RR_DIRECT,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_DIRECT,5,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_BRES,5,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True
later_exploratory,B_ANCHOR,6,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,DRIFT1,6,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,RR_DIRECT,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_DIRECT,6,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_BRES,6,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True
later_exploratory,B_ANCHOR,7,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,DRIFT1,7,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
later_exploratory,RR_DIRECT,7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_DIRECT,7,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
later_exploratory,TCN_BRES,7,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True
