model,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
BPLUS_CONTINUOUS,ATU1,293,5.4317941274103108,8.0682459891575906,14.246442103166373,1,151.49741639183378,151.49741639183378,1,194.44482885087064,194.44482885087064,1,231.69530424059127,231.69530424059127
BPLUS_CONTINUOUS,ATU5,293,8.1080330697934144,9.1150067099766563,15.60442473690447,1,165.53001893032206,165.53001893032206,1,212.45547922309515,212.45547922309515,1,253.15631784648124,253.15631784648124
BPLUS_CONTINUOUS,MJ3,293,8.7790588990733696,13.016273948901418,18.050633046245405,1,187.9635881634531,187.9635881634531,1,241.2486536147176,241.2486536147176,1,287.46550127987484,287.46550127987484
BPLUS_CONTINUOUS,MJ1,293,5.287870905170764,6.2971662230627254,16.71624419472241,1,180.88361724178881,180.88361724178881,1,232.16160931442732,232.16160931442732,1,276.637620146465,276.637620146465
DRIFT1,ATU1,293,12.87236415119731,19.244197895113508,10.144178050900338,0.68600682593856654,38.289396635217145,73.501630441727301,0.88737201365187712,49.143908542186985,93.633659699003843,0.9078498293515358,58.558578844936065,128.30017385213512
DRIFT1,ATU5,293,4.2142148646442621,6.9817034172927084,3.433033021589559,0.55631399317406138,8.0863111134146948,26.169530294153958,0.63822525597269619,10.378667953096283,37.273960641231412,0.91808873720136519,12.366945643224199,55.705765614106674
DRIFT1,MJ3,293,10.867921588627034,12.334873689346734,7.77691981055768,0.42320819112627989,20.366558779386196,48.688272029376179,0.60409556313993173,26.140195195780052,54.510132840803962,0.75085324232081907,31.147963741631884,55.873541209348325
DRIFT1,MJ1,293,8.4848805118825315,13.350163123557049,7.7562159993660371,0.56655290102389078,7.1632864251098445,70.743288085653916,0.59385665529010234,9.1939785912766183,127.83660009807922,0.60750853242320824,10.955301200224312,234.1689910531187
RR_COND,ATU1,293,11.605648621437904,12.20026770917112,18.400352540932001,1,193.19364026124998,193.19364026124998,1,247.96135280958057,247.96135280958057,1,295.46417571838197,295.46417571838197
RR_COND,ATU5,293,13.912059377385877,14.345710269854921,20.256275686255591,1,211.27488414299819,211.27488414299819,1,271.16837808916739,271.16837808916739,1,323.11705193242028,323.11705193242028
RR_COND,MJ3,293,14.611218165582468,17.030816367209294,19.689335538131374,1,199.82918474785765,199.82918474785765,1,256.47798195587353,256.47798195587353,1,305.61236527331266,305.61236527331266
RR_COND,MJ1,293,5.1440200290703739,5.7760603298007736,15.944834271749501,1,172.7146032970762,172.7146032970762,1,221.6767934265331,221.6767934265331,1,264.14419143761819,264.14419143761819
